Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Temperature_difference;Power;Mechanical_stress;Type_L;Type_M;ID;Failure_Prediction;Failure_Probability;SHAP_Rotational_speed;SHAP_Power;SHAP_Tool_wear;SHAP_Temperature_difference;Key_factor;Risk_level;Maintenance_Recommendation;Suggested_Action
300;309;1345;62;153;9;84331;9593;1;0;0;0;0,3404104844442952;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Medio;Mantenimiento preventivo programado;Revisar Potencia
303;312;1513;40;135;8;60671;5413;1;0;1;0;0,013931767884476967;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;311;1559;37;209;8;58618;7858;1;0;2;0;0,20721606438419105;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
295;306;1509;35;60;10;54022;2148;0;0;3;0;0,010594284796002575;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1358;60;102;9;82023;6160;0;0;4;0;0,18005009193018712;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;310;1455;44;188;8;64165;8290;0;0;5;0;0,049517815050248555;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1426;46;102;7;66451;4753;1;0;6;0;0,19358875679983648;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;309;1471;46;42;10;67666;1932;0;1;7;0;0,01612815862013164;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;312;1590;36;93;11;57716;3375;1;0;8;0;0,005468587032726726;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;2384;15;19;9;35760;285;1;0;9;0;0,13093320739786787;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;308;1587;38;124;9;61258;4786;1;0;10;0;0,014189256900801889;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;311;1365;53;85;11;72345;4505;1;0;11;0;0,056425375316706675;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1519;34;73;9;53013;2547;0;1;12;0;0,016396594964458448;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1436;46;103;10;67061;4810;1;0;13;0;0,017137055783897272;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
295;305;1593;37;197;10;59259;7328;0;0;14;0;0,03925701336611802;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
304;313;1541;45;64;9;70731;2937;1;0;15;0;0,014178763849831173;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
304;313;1519;36;117;9;55747;4293;1;0;16;0;0,013322696313110541;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
303;312;1363;51;90;8;70603;4662;1;0;17;1;0,7039964918600945;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
297;308;1677;26;146;11;44272;3854;1;0;18;0;0,014839496656385261;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;308;1441;43;132;9;62251;5702;0;1;19;0;0,011794777957028194;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;310;1495;43;101;10;64434;4353;1;0;20;0;0,018025961236882628;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;310;2737;8;142;11;24085;1249;1;0;21;1;0,9682689717202202;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Alto;Intervención inmediata;Acción crítica inmediata sobre Potencia
298;307;1260;54;141;9;68292;7642;0;0;22;0;0,05991374824171026;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
302;310;1544;39;141;8;61296;5597;0;1;23;0;0,04261680706628671;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;310;2109;18;61;11;37962;1098;1;0;24;0;0,053403634219806984;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1522;41;115;10;63467;4795;0;1;25;0;0,015648845540619485;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
295;306;1356;48;99;10;65088;4752;1;0;26;0;0,04922263412167903;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;311;1504;40;20;11;61212;814;1;0;27;0;0,009782181124403964;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;309;1775;24;125;9;42955;3025;1;0;28;0;0,020519827359097527;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
303;312;1507;38;180;8;58019;6930;0;1;29;0;0,01036174873103731;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
298;307;1700;28;120;9;47940;3384;0;0;30;0;0,015763714425167254;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;308;1422;48;83;9;69535;4058;1;0;31;0;0,0284575992748213;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
296;307;1524;36;82;11;56083;3017;1;0;32;0;0,011416216019640572;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;310;1471;37;193;9;55162;7237;1;0;33;0;0,07214299026199315;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
297;308;1485;47;143;11;71131;6849;0;1;34;0;0,011691736238275796;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
299;309;1678;29;202;9;50004;6019;0;1;35;0;0,08736070783968475;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
303;311;1651;30;50;8;50520;1530;0;0;36;0;0,043747792542368616;0,11201586996787766;1,8616800415687769;1,2784125785333371;0,2771821225072303;Potencia;Bajo;Operación normal;Monitoreo rutinario
300;310;1627;29;95;10;47508;2774;1;0;37;0;0,024850929391034882;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
301;311;1408;46;135;10;65190;6250;1;0;38;0;0,03009214012525536;0,11201586996787766;1,840596765542278;1,243013174148468;0,14831111679057707;Potencia;Bajo;Operación normal;Monitoreo rutinario
